Filename,TruckRoute,TruckTime,DroneTimes,MaxTotalTime
20140813T111604,"0 2 4 5 7 6 1 8 9 10 0",206.49,"29.6989",206.49
20140813T111606,"0 4 1 3 9 2 7 10 5 0",186.574,"54.3439",186.574
20140813T111609,"0 3 1 4 7 2 9 10 5 0",188.044,"52.993",188.044
20140813T111611,"0 9 1 10 5 4 6 8 2 0",146.739,"53.6888",146.739
20140813T111613,"0 9 2 5 7 3 10 8 4 1 0",249.193,"28.8064",249.193
20140813T111615,"0 3 8 1 4 2 9 7 10 6 0",173.778,"29.5106",173.778
20140813T111617,"0 6 8 7 5 1 2 3 9 0",141.742,"53.1337",141.742
20140813T111619,"0 7 2 6 1 3 8 5 4 9 0",213.27,"29.0089",213.27
20140813T111621,"0 4 9 6 1 5 10 3 8 0",218.094,"56.7333",218.094
20140813T111623,"0 5 1 6 3 7 9 4 2 0",219.678,"55.633",219.678
20140813T111626,"0 7 1 2 4 3 8 6 10 5 0",150.717,"21.9766",150.717
20140813T111628,"0 9 10 1 6 7 5 8 3 4 0",149.864,"26.5658",149.864
20140813T111630,"0 7 5 9 1 3 6 4 8 10 0",130.606,"25.5108",130.606
20140813T111632,"0 9 6 10 2 4 5 1 3 7 0",143.568,"13.221",143.568
20140813T111634,"0 3 6 2 9 8 5 10 1 0",169.987,"37.5162",169.987
20140813T111636,"0 9 8 4 10 6 7 3 1 0",148.16,"36.2386",148.16
20140813T111638,"0 2 4 8 1 9 10 7 3 5 0",145.003,"18.5714",145.003
20140813T111640,"0 7 4 3 2 6 5 1 9 0",146.461,"34.4594",146.461
20140813T111642,"0 5 8 9 7 2 4 1 10 3 0",163.863,"5.98904",163.863
20140813T111644,"0 2 6 5 9 7 8 3 1 10 0",180.522,"21.1576",180.522
20140813T111646,"0 8 3 6 4 9 10 2 7 0",160.807,"51.3158",160.807
20140813T111649,"0 5 4 7 1 9 6 10 8 2 0",184.87,"28.2445",184.87
20140813T111651,"0 9 1 7 3 6 8 10 2 0",222.997,"44.4076",222.997
20140813T111653,"0 5 3 2 9 6 7 10 8 1 4 0",203.294,"0",203.294
20140813T111655,"0 2 9 6 4 8 3 10 1 7 0",222.241,"18.5494",222.241
20140813T111657,"0 1 2 8 7 6 4 9 10 5 0",193.63,"28.114",193.63
20140813T111659,"0 8 7 5 1 9 3 4 10 0",202.094,"42.3504",202.094
20140813T111701,"0 7 8 9 5 4 3 10 6 0",202.217,"45.4938",202.217
20140813T111703,"0 5 4 1 9 3 7 8 2 10 0",221.606,"24.5009",221.606
20140813T111705,"0 7 6 2 9 1 5 4 10 3 0",218.079,"22.5213",218.079
20140813T111708,"0 6 3 1 7 8 5 9 0",115.256,"73.6891",115.256
20140813T111710,"0 1 8 6 4 9 2 3 0",146.243,"80.9659",146.243
20140813T111712,"0 6 5 3 4 7 9 2 0",82.8295,"75.2831",82.8295
20140813T111714,"0 4 2 6 7 8 1 10 0",104.144,"71.1837",104.144
20140813T111716,"0 7 8 3 9 10 6 5 0",142.839,"66.6891",142.839
20140813T111718,"0 3 8 2 9 5 6 4 1 0",127.4,"37.0476",127.4
20140813T111720,"0 4 7 8 3 10 2 0",106.032,"103.587",106.032
20140813T111722,"0 7 4 9 10 8 6 2 0",132.85,"68.8224",132.85
20140813T111725,"0 8 5 4 1 7 10 0",153.787,"97.0462",153.787
20140813T111727,"0 6 3 9 8 2 10 0",114.179,"95.9223",114.179
20140813T111729,"0 4 1 6 5 3 8 9 0",116.59,"63.6663",116.59
20140813T111731,"0 9 7 3 5 8 10 1 4 0",111.767,"22.7009",111.767
20140813T111733,"0 2 5 6 7 4 1 10 0",110.599,"45.6464",110.599
20140813T111735,"0 9 7 10 6 8 2 5 1 0",79.3339,"41.0614",79.3339
20140813T111737,"0 6 9 3 8 5 10 0",87.9522,"70.5548",87.9522
20140813T111740,"0 1 9 6 7 10 3 0",89.0348,"67.7682",89.0348
20140813T111742,"0 8 4 5 2 9 3 1 0",84.8584,"75.3016",84.8584
20140813T111744,"0 6 7 1 5 8 2 9 0",101.019,"65.0722",101.019
20140813T111746,"0 2 5 9 10 6 4 7 0",88.0384,"41.0151",88.0384
20140813T111748,"0 7 2 5 6 9 8 10 1 0",115.198,"28.8823",115.198
20140813T111750,"0 8 4 6 9 7 3 0",132.643,"71.6025",132.643
20140813T111752,"0 4 7 8 10 6 1 3 0",155.415,"59.8616",155.415
20140813T111754,"0 6 8 9 7 3 1 10 5 0",141.928,"25.3503",141.928
