Filename,Obj,Runtime
20140813T111604|1,201.982,0ms
20140813T111606|1,216.014,0ms
20140813T111606|2,189.614,0ms
20140813T111609|1,169.463,0ms
20140813T111609|2,169.463,0ms
20140813T111611|1,160.659,0ms
20140813T111611|2,160.659,0ms
20140813T111613|1,258.223,0ms
20140813T111615|1,170.362,0ms
20140813T111617|1,141.742,0ms
20140813T111617|2,141.742,0ms
20140813T111619|1,189.34,0ms
20140813T111619|2,189.34,0ms
20140813T111621|1,218.094,0ms
20140813T111621|2,218.094,0ms
20140813T111623|1,213.617,0ms
20140813T111623|2,213.617,0ms
20140813T111626|1,153.867,0ms
20140813T111628|1,147.466,0ms
20140813T111628|2,147.306,0ms
20140813T111630|1,136.078,0ms
20140813T111630|2,136.078,0ms
20140813T111632|1,140.848,0ms
20140813T111634|1,164.072,0ms
20140813T111634|2,164.072,0ms
20140813T111636|1,148.16,0ms
20140813T111636|2,148.16,0ms
20140813T111638|1,130.858,0ms
20140813T111638|2,130.858,0ms
20140813T111640|1,146.461,0ms
20140813T111640|2,146.461,0ms
20140813T111642|1,167.383,0ms
20140813T111644|1,166.434,0ms
20140813T111646|1,160.807,0ms
20140813T111646|2,160.807,0ms
20140813T111649|1,180.07,0ms
20140813T111649|2,180.07,0ms
20140813T111651|1,220.65,0ms
20140813T111651|2,220.65,0ms
20140813T111653|1,189.923,0ms
20140813T111655|1,201.927,0ms
20140813T111657|1,193.63,0ms
20140813T111659|1,201.614,0ms
20140813T111659|2,201.614,0ms
20140813T111701|1,213.714,0ms
20140813T111701|2,212.914,0ms
20140813T111703|1,211.725,0ms
20140813T111705|1,218.079,0ms
20140813T111708|1,115.256,0ms
20140813T111708|2,115.256,0ms
20140813T111708|3,115.256,0ms
20140813T111710|1,146.243,0ms
20140813T111710|2,146.243,0ms
20140813T111710|3,146.243,0ms
20140813T111712|1,75.397,0ms
20140813T111712|2,75.397,0ms
20140813T111712|3,75.397,0ms
20140813T111714|1,104.144,0ms
20140813T111714|2,104.144,0ms
20140813T111714|3,104.144,0ms
20140813T111716|1,143.083,0ms
20140813T111716|2,142.839,0ms
20140813T111716|3,143.083,0ms
20140813T111718|1,135.935,0ms
20140813T111718|2,135.935,0ms
20140813T111718|3,122.975,0ms
20140813T111720|1,110.804,0ms
20140813T111720|2,110.804,0ms
20140813T111720|3,106.032,0ms
20140813T111722|1,148.69,0ms
20140813T111722|2,135.73,0ms
20140813T111722|3,148.69,0ms
20140813T111725|1,161.467,0ms
20140813T111725|2,153.787,0ms
20140813T111725|3,153.787,0ms
20140813T111727|1,114.179,0ms
20140813T111727|2,114.179,0ms
20140813T111727|3,114.179,0ms
20140813T111729|1,114.03,0ms
20140813T111729|2,114.03,0ms
20140813T111729|3,114.03,0ms
20140813T111731|1,114.613,0ms
20140813T111731|2,114.613,0ms
20140813T111733|1,107.899,0ms
20140813T111733|2,107.899,0ms
20140813T111733|3,107.899,0ms
