Filename,TruckRoute,TruckTime,DroneTimes,MaxTotalTime
20140813T111604,0 10 9 5 8 1 6 7 4 2 0,201.982,29.6989,201.982
20140813T111606,0 1 3 4 9 2 7 10 5 0,190.094,54.3439,190.094
20140813T111609,0 5 10 7 1 2 9 4 3 0,197.637,52.993,197.637
20140813T111611,0 9 1 10 5 4 6 8 2 0,146.739,53.6888,146.739
20140813T111613,0 1 4 8 9 10 3 2 5 7 0,258.223,28.8064,258.223
20140813T111615,0 8 1 4 2 6 10 7 9 3 0,181.218,29.5106,181.218
20140813T111617,0 6 8 7 5 1 2 3 9 0,141.742,53.1337,141.742
20140813T111619,0 4 5 8 3 1 6 2 7 0,189.34,53.4288,189.34
20140813T111621,0 4 9 6 1 5 10 3 8 0,218.094,56.7333,218.094
20140813T111623,0 1 6 5 4 3 7 9 2 0,213.617,55.633,213.617
20140813T111626,0 1 7 10 5 6 8 3 4 2 0,161.547,21.9766,161.547
20140813T111628,0 8 7 6 10 1 5 3 4 0,147.466,46.2672,147.466
20140813T111630,0 1 3 6 4 9 8 10 5 0,136.078,36.5867,136.078
20140813T111632,0 3 1 5 4 2 6 10 9 7 0,140.848,13.221,140.848
20140813T111634,0 1 2 9 8 10 5 6 3 0,164.072,37.5162,164.072
20140813T111636,0 1 3 7 6 10 4 8 9 0,148.16,36.2386,148.16
20140813T111638,0 5 3 7 10 9 1 4 2 0,130.858,39.6296,130.858
20140813T111640,0 9 1 5 6 2 3 4 7 0,146.461,34.4594,146.461
20140813T111642,0 5 8 10 1 7 4 2 9 3 0,165.445,5.98904,165.445
20140813T111644,0 6 10 1 9 8 3 7 5 2 0,166.434,21.1576,166.434
20140813T111646,0 7 2 10 9 4 6 3 8 0,160.807,51.3158,160.807
20140813T111649,0 4 7 1 9 6 10 8 2 0,180.07,52.5969,180.07
20140813T111651,0 9 1 7 3 8 6 10 2 0,220.65,44.4076,220.65
20140813T111653,0 3 10 8 4 1 7 6 9 2 0,189.923,7.06724,189.923
20140813T111655,0 7 1 10 3 4 6 9 8 2 0,201.927,18.5494,201.927
20140813T111657,0 1 5 10 9 4 6 7 8 2 0,193.63,28.114,193.63
20140813T111659,0 8 7 5 1 3 4 9 10 0,201.614,42.3504,201.614
20140813T111701,0 2 7 8 9 3 10 5 4 6 0,213.714,26.2987,213.714
20140813T111703,0 1 9 3 7 4 5 10 8 2 0,211.725,24.5009,211.725
20140813T111705,0 3 10 4 5 1 9 2 6 7 0,218.079,22.5213,218.079
20140813T111708,0 9 5 8 7 1 3 6 0,115.256,73.6891,115.256
20140813T111710,0 1 8 6 4 9 2 3 0,146.243,80.9659,146.243
20140813T111712,0 2 9 4 7 3 5 10 0,75.397,72.7929,75.397
20140813T111714,0 10 1 8 7 6 2 4 0,104.144,71.1837,104.144
20140813T111716,0 5 9 10 6 2 3 8 7 0,143.083,46.8551,143.083
20140813T111718,0 4 6 1 5 9 2 3 0,135.935,62.7866,135.935
20140813T111720,0 9 2 10 3 8 7 4 0,106.276,76.909,106.276
20140813T111722,0 6 8 2 5 9 10 4 7 0,152.891,46.8773,152.891
20140813T111725,0 8 5 1 4 3 7 10 0,169.037,67.5943,169.037
20140813T111727,0 10 2 8 9 3 6 0,114.179,95.9223,114.179
20140813T111729,0 4 6 9 8 3 5 1 2 0,114.03,39.4503,114.03
20140813T111731,0 1 7 3 5 8 10 4 9 0,114.613,22.7009,114.613
20140813T111733,0 10 1 2 5 6 7 4 0,107.899,45.6464,107.899
20140813T111735,0 7 10 6 8 2 5 0,77.8939,59.5668,77.8939
20140813T111737,0 6 9 3 8 5 10 0,87.9522,70.5548,87.9522
20140813T111740,0 6 1 9 7 10 3 8 0,92.0017,53.1253,92.0017
20140813T111742,0 10 2 8 4 5 9 3 0,86.7784,67.976,86.7784
20140813T111744,0 6 7 1 5 8 2 0,96.7862,82.9516,96.7862
20140813T111746,0 2 5 9 10 6 4 7 0,88.0384,41.0151,88.0384
20140813T111748,0 1 10 8 9 6 5 2 0,115.198,40.2864,115.198
20140813T111750,0 2 8 4 6 9 7 3 0,132.643,52.0414,132.643
20140813T111752,0 7 8 4 10 6 1 3 0,166.935,59.8616,166.935
20140813T111754,0 10 1 3 7 8 9 5 4 0,146.536,27.1778,146.536
20140813T111756,0 6 8 4 10 1 9 2 0,145.419,47.4504,145.419
20140813T111758,0 8 7 9 1 4 3 0,133.301,58.0976,133.301
20140813T111801,0 7 4 2 6 10 8 3 0,135.692,49.9486,135.692
20140813T111803,0 10 1 7 8 3 2 9 5 0,135.204,28.3311,135.204
20140813T111805,0 1 10 5 6 3 8 4 9 0,123.425,51.4674,123.425
20140813T111807,0 2 10 5 8 3 4 0,133.745,96.9773,133.745
20140813T111809,0 1 6 8 9 4 5 0,171.645,72.5192,171.645
20140813T111811,0 4 1 3 7 2 0,139.508,110.258,139.508
20140813T111813,0 5 1 2 7 3 10 0,102.202,95.5147,102.202
20140813T111815,0 2 7 6 9 3 10 8 0,96.9718,83.8735,96.9718
20140813T111817,0 1 9 8 5 4 7 10 0,98.7301,77.3101,98.7301
20140813T111820,0 2 5 7 9 3 6 8 10 0,104.173,51.8177,104.173
20140813T111822,0 10 8 2 3 7 6 0,122.682,104.508,122.682
20140813T111824,0 8 2 9 10 6 3 7 0,96.3013,77.4776,96.3013
20140813T111826,0 1 3 9 5 6 7 0,106.067,101.15,106.067
20140813T111828,0 2 7 5 8 4 10 0,100.849,75.9921,100.849
20140813T111830,0 2 5 9 4 3 6 7 0,86.5597,73.261,86.5597
20140813T111832,0 4 7 9 1 2 3 6 0,78.0828,42.2567,78.0828
20140813T111834,0 5 8 2 3 9 6 0,59.4703,51.6112,59.4703
