Filename,Obj,Runtime
20140813T124847|1,307.289,0ms
20140813T124847|2,307.289,1ms
20140813T124847|3,307.289,0ms
20140813T124849|1,286.441,0ms
20140813T124849|2,286.441,0ms
20140813T124849|3,286.441,1ms
20140813T124853|1,260.782,0ms
20140813T124853|2,270.382,0ms
20140813T124853|3,260.782,0ms
20140813T124856|1,281.184,0ms
20140813T124856|2,286.123,0ms
20140813T124856|3,286.123,0ms
20140813T124858|1,276.944,0ms
20140813T124858|2,277.668,0ms
20140813T124858|3,280.364,0ms
20140813T124902|1,262.242,0ms
20140813T124902|2,262.242,0ms
20140813T124902|3,262.242,0ms
20140813T124907|1,301.782,0ms
20140813T124907|2,302.153,0ms
20140813T124907|3,302.153,0ms
20140813T124909|1,259.988,0ms
20140813T124909|2,249.843,0ms
20140813T124909|3,259.988,0ms
20140813T124912|1,329.918,0ms
20140813T124912|2,333.073,0ms
20140813T124912|3,338.235,0ms
20140813T124915|1,312.066,0ms
20140813T124915|2,326.946,0ms
20140813T124915|3,326.946,0ms
20140813T124917|1,180.752,0ms
20140813T124917|2,207.097,0ms
20140813T124917|3,210.352,0ms
20140813T124920|1,179.955,0ms
20140813T124920|2,179.955,0ms
20140813T124920|3,179.955,1ms
20140813T124922|1,197.427,0ms
20140813T124922|2,197.801,0ms
20140813T124922|3,197.427,0ms
20140813T124924|1,174.395,0ms
20140813T124924|2,174.395,0ms
20140813T124924|3,174.395,0ms
20140813T124926|1,157.565,0ms
20140813T124926|2,157.565,0ms
20140813T124926|3,157.565,0ms
20140813T124928|1,171.215,0ms
20140813T124928|2,171.215,0ms
20140813T124928|3,170.352,0ms
20140813T124931|1,230.764,0ms
20140813T124931|2,232.261,0ms
20140813T124931|3,232.261,0ms
20140813T124933|1,172.158,0ms
20140813T124933|2,176.798,0ms
20140813T124933|3,172.158,0ms
20140813T124935|1,203.685,0ms
20140813T124935|2,203.685,0ms
20140813T124935|3,203.685,0ms
20140813T124937|1,203.71,0ms
20140813T124937|2,203.71,0ms
20140813T124937|3,203.71,0ms
20140813T124939|1,262.744,0ms
20140813T124939|2,262.674,0ms
20140813T124939|3,262.744,0ms
20140813T124941|1,295.054,0ms
20140813T124941|2,295.054,0ms
20140813T124941|3,295.054,0ms
20140813T124944|1,279.454,0ms
20140813T124944|2,275.794,0ms
20140813T124944|3,278.025,0ms
20140813T124946|1,253.178,0ms
20140813T124946|2,253.178,0ms
20140813T124946|3,253.178,0ms
20140813T124948|1,289.839,0ms
20140813T124948|2,289.839,0ms
20140813T124948|3,289.839,0ms
20140813T124950|1,299.227,0ms
20140813T124950|2,286.747,0ms
20140813T124950|3,299.227,1ms
20140813T124952|1,260.995,0ms
20140813T124952|2,256.514,0ms
20140813T124952|3,260.995,0ms
20140813T124954|1,288.444,0ms
20140813T124954|2,288.444,0ms
20140813T124954|3,288.444,0ms
20140813T124957|1,313.389,0ms
20140813T124957|2,316.006,1ms
20140813T124957|3,317.926,0ms
20140813T124959|1,294.193,0ms
20140813T124959|2,285.574,0ms
20140813T124959|3,283.202,0ms
20140813T125001|1,150.051,0ms
20140813T125001|2,146.187,0ms
20140813T125001|3,146.187,0ms
20140813T125003|1,200.012,0ms
20140813T125003|2,200.164,0ms
20140813T125003|3,189.866,1ms
20140813T125006|1,203.437,0ms
20140813T125006|2,160.937,0ms
20140813T125006|3,189.054,1ms
20140813T125008|1,196.375,0ms
20140813T125008|2,168.267,0ms
20140813T125008|3,161.067,1ms
20140813T125010|1,202.627,0ms
20140813T125010|2,204.183,1ms
20140813T125010|3,204.183,0ms
20140813T125012|1,197.838,0ms
20140813T125012|2,197.838,0ms
20140813T125012|3,197.838,1ms
20140813T125015|1,214.89,0ms
20140813T125015|2,184.77,0ms
20140813T125015|3,184.77,1ms
20140813T125017|1,181.496,0ms
20140813T125017|2,187.8,0ms
20140813T125017|3,185.4,0ms
20140813T125020|1,200.029,0ms
20140813T125020|2,194.652,0ms
20140813T125020|3,202.419,0ms
